nombre,posicion,altura,nacimiento,licencia,temporada,club,partidos_jugados,minutos_jugados,5i,puntos_totales,puntos_maximos,tiros_de_3_convertidos,tiros_de_3_intentados,tiros_de_3_%,tiros_de_2_convertidos,tiros_de_2_intentados,tiros_de_2_%,tiros_de_1_convertidos,tiros_de_1_intentados,tiros_de_1_%,rebotes_ofensivos,rebotes_defensivos,rebotes_totales,asistencias,recuperaciones,perdidas,tapones_a_favor,tapones_en_contra,mates,faltas_cometidas,faltas_recibidas,+/-,valoracion,victorias,derrotas
Johnny Dee,Escolta,"1,83",04/11/1992,EXT,20-21,Acunsa GBC,8,187,6,78,22,17,47,"36,2%",8,26,"30,8%",11,13,"84,6%",2,21,23,13,7,15,0,1,0,18,12,-47,49,1,7
Viny Okouo,Pívot,"2,14",10/04/1997,JFL,15-16,Unicaja,8,13,0,0,0,0,0,"0,0%",0,3,"0,0%",0,2,"0,0%",0,3,3,0,1,1,0,0,0,4,3,1,-3,6,2
Viny Okouo,Pívot,"2,14",10/04/1997,JFL,16-17,Unicaja,26,186,0,50,12,0,0,"0,0%",17,38,"44,7%",16,29,"55,2%",11,35,46,4,2,16,5,1,5,35,23,9,44,16,10
Viny Okouo,Pívot,"2,14",10/04/1997,JFL,17-18,Unicaja,17,110,1,45,7,0,0,"0,0%",16,33,"48,5%",13,22,"59,1%",13,16,29,1,4,12,5,3,1,25,17,10,35,10,7
Viny Okouo,Pívot,"2,14",10/04/1997,JFL,18-19,Unicaja,7,28,1,7,2,0,0,"0,0%",3,4,"75,0%",1,2,"50,0%",3,7,10,1,0,3,0,0,0,6,1,1,8,3,4
Viny Okouo,Pívot,"2,14",10/04/1997,JFL,20-21,Acunsa GBC,8,133,2,61,14,0,0,"0,0%",24,43,"55,8%",13,29,"44,8%",12,26,38,3,4,17,1,2,2,18,25,-83,60,1,7
Lucas Faggiano,Base,"1,88",21/03/1989,EUR,20-21,Acunsa GBC,8,171,4,51,13,1,11,"9,1%",21,41,"51,2%",6,8,"75,0%",4,14,18,28,10,11,1,3,0,16,18,-88,64,1,7
Jan Span,Base,"1,87",20/11/1992,EUR,20-21,Acunsa GBC,8,140,4,29,9,7,39,"17,9%",4,22,"18,2%",0,0,"0,0%",4,5,9,12,3,12,0,3,0,6,3,-62,-15,1,7
Xabi Oroz,Escolta,"1,93",19/01/1996,JFL,14-15,Gipuzkoa Basket GBC,6,15,0,0,0,0,1,"0,0%",0,1,"0,0%",0,0,"0,0%",1,1,2,2,1,1,0,0,0,2,0,-10,0,1,5
Xabi Oroz,Escolta,"1,93",19/01/1996,JFL,15-16,RETAbet.es GBC,6,43,0,6,2,0,3,"0,0%",3,3,"100,0%",0,0,"0,0%",2,3,5,1,1,2,0,0,0,11,3,-29,0,2,4
Xabi Oroz,Escolta,"1,93",19/01/1996,JFL,17-18,Delteco GBC,30,290,2,57,7,2,14,"14,3%",22,38,"57,9%",7,10,"70,0%",9,25,34,35,12,25,0,6,1,24,14,-78,66,9,21
Xabi Oroz,Escolta,"1,93",19/01/1996,JFL,18-19,Delteco GBC,5,15,0,3,3,1,1,"100,0%",0,0,"0,0%",0,0,"0,0%",0,1,1,0,1,4,2,0,0,1,0,-20,2,0,5
Xabi Oroz,Escolta,"1,93",19/01/1996,JFL,20-21,Acunsa GBC,8,97,0,8,6,0,1,"0,0%",3,10,"30,0%",2,2,"100,0%",4,6,10,12,11,6,2,2,0,8,7,-33,26,1,7
Dino Radoncic,Alero,"2,02",08/01/1999,JFL,15-16,Real Madrid,5,8,0,0,0,0,0,"0,0%",0,2,"0,0%",0,0,"0,0%",0,0,0,0,0,2,0,0,0,3,0,-6,-7,5,0
Dino Radoncic,Alero,"2,02",08/01/1999,JFL,16-17,Real Madrid,1,11,0,3,3,0,1,"0,0%",0,0,"0,0%",3,4,"75,0%",1,2,3,0,0,0,1,0,0,0,2,-9,7,1,0
Dino Radoncic,Alero,"2,02",08/01/1999,JFL,17-18,Real Madrid,24,286,5,71,12,4,15,"26,7%",22,41,"53,7%",15,18,"83,3%",16,23,39,17,4,15,2,3,3,34,17,69,65,22,2
Dino Radoncic,Alero,"2,02",08/01/1999,JFL,18-19,UCAM Murcia CB,33,506,10,148,15,10,27,"37,0%",48,93,"51,6%",22,42,"52,4%",29,63,92,24,10,26,4,2,2,48,43,0,163,13,20
Dino Radoncic,Alero,"2,02",08/01/1999,JFL,19-20,UCAM Murcia CB,23,403,7,88,10,9,26,"34,6%",26,61,"42,6%",9,17,"52,9%",30,60,90,9,11,18,0,5,6,46,15,-95,84,8,15
Dino Radoncic,Alero,"2,02",08/01/1999,JFL,20-21,Acunsa GBC,8,206,4,53,12,4,23,"17,4%",16,31,"51,6%",9,16,"56,3%",5,28,33,11,9,9,3,1,0,16,18,-90,60,1,7
Mikel Motos,Escolta,"1,92",30/01/1993,JFL,11-12,Lagun Aro GBC,1,1,0,0,0,0,0,"0,0%",0,0,"0,0%",0,0,"0,0%",0,0,0,0,0,1,0,0,0,0,0,-6,-1,1,0
Mikel Motos,Escolta,"1,92",30/01/1993,JFL,12-13,Lagun Aro GBC,3,10,1,3,3,1,1,"100,0%",0,1,"0,0%",0,0,"0,0%",1,0,1,1,0,1,0,0,0,1,0,-3,2,0,3
Mikel Motos,Escolta,"1,92",30/01/1993,JFL,13-14,Gipuzkoa Basket,27,163,5,18,7,3,11,"27,3%",4,10,"40,0%",1,2,"50,0%",8,20,28,3,7,5,2,2,0,32,4,-16,8,14,13
