name,pos,height,age,license,club,PPG,FGM,FGA,X3PT_Per,X2PT_Per,FT_Per,TR,AST,STL,TOV,BLKF,BLKA,FC,FD,PIR,Performance
Johnny Dee,SG,1.83,28,EXT,Acunsa GBC,9.75,4.5,10.75,36.2,30.8,84.6,2.88,1.62,0.88,1.88,0.0,0.12,2.25,1.5,6.12,Good
Viny Okouo,C,2.14,23,JFL,Acunsa GBC,7.62,4.62,9.0,0.0,55.8,44.8,4.75,0.38,0.5,2.12,0.12,0.25,2.25,3.12,7.5,Good
Lucas Faggiano,PG,1.88,31,EUR,Acunsa GBC,6.38,3.5,7.5,9.1,51.2,75.0,2.25,3.5,1.25,1.38,0.12,0.38,2.0,2.25,8.0,Good
Jan Span,PG,1.87,28,EUR,Acunsa GBC,3.62,1.38,7.62,17.9,18.2,0.0,1.12,1.5,0.38,1.5,0.0,0.38,0.75,0.38,-1.88,Poor
Xabi Oroz,SG,1.93,24,JFL,Acunsa GBC,1.0,0.62,1.62,0.0,30.0,100.0,1.25,1.5,1.38,0.75,0.25,0.25,1.0,0.88,3.25,Poor
Dino Radoncic,F,2.02,21,JFL,Acunsa GBC,6.62,3.62,8.75,17.4,51.6,56.3,4.12,1.38,1.12,1.12,0.38,0.12,2.0,2.25,7.5,Good
William Magarity,PF,2.11,27,EUR,Acunsa GBC,7.25,3.38,6.5,43.5,47.8,100.0,2.62,1.12,0.5,0.75,0.25,0.0,1.5,1.25,7.62,Good
Julen Olaizola,PF,2.02,27,JFL,Acunsa GBC,0.6,0.4,1.0,0.0,100.0,33.3,1.0,0.6,0.2,0.8,0.2,0.0,1.8,0.4,-0.2,Poor
Pere Tomàs,F,2.0,31,JFL,Acunsa GBC,7.38,3.25,6.88,50.0,31.8,85.7,4.25,1.12,0.75,0.75,0.0,0.5,1.75,1.62,8.5,Good
Jaime Echenique,C,2.11,23,EXT,Acunsa GBC,14.86,8.86,13.57,66.7,60.3,75.9,5.57,0.57,1.0,2.14,1.29,0.43,3.43,3.43,16.0,Outstanding
Brandone Francis,SG,1.96,26,COT,Acunsa GBC,5.5,2.88,8.5,26.1,26.5,72.7,1.12,0.62,0.38,1.5,0.25,0.12,2.0,1.0,-0.38,Poor
Guillem Jou,SG,1.95,23,JFL,BAXI Manresa,9.0,4.44,8.22,38.5,61.1,82.4,4.44,1.33,0.89,0.78,0.22,0.33,1.11,1.89,11.78,Good
Makai Mason,SG,1.85,25,EUR,BAXI Manresa,11.62,5.75,12.88,35.4,34.2,94.1,1.0,0.62,0.38,2.38,0.0,1.0,2.25,2.5,3.38,Poor
Seth Hinrichs,PF,2.01,27,EXT,BAXI Manresa,6.67,3.56,6.67,28.6,57.1,72.7,3.89,1.67,0.89,1.67,0.11,0.78,1.89,1.22,7.0,Good
Eulis Báez,PF,2.01,38,EUR,BAXI Manresa,8.89,5.11,9.44,33.3,61.5,65.6,3.56,2.44,1.11,1.11,0.33,0.11,2.44,2.56,10.89,Good
Rafa Martínez,SG,1.9,38,JFL,BAXI Manresa,5.22,2.44,4.89,33.3,83.3,87.5,1.0,1.0,0.56,0.56,0.0,0.0,0.89,0.78,4.67,Poor
Jonathan Tabu,PG,1.9,35,EUR,BAXI Manresa,9.78,5.22,9.44,36.7,41.7,100.0,1.56,3.22,1.22,2.56,0.0,0.11,1.67,3.11,10.33,Good
Martynas Sajus,C,2.08,24,EUR,BAXI Manresa,6.38,4.25,6.12,0.0,65.4,73.9,3.38,0.25,0.0,1.12,0.0,0.0,2.12,2.0,6.88,Good
Janari Joesaar,F,1.98,27,EUR,BAXI Manresa,3.5,1.5,5.5,28.6,0.0,33.3,3.0,0.0,0.5,0.0,0.5,0.0,1.0,1.0,3.5,Poor
Juampi Vaulet,F,1.99,24,EUR,BAXI Manresa,7.44,3.78,6.67,45.5,62.2,50.0,3.0,0.44,0.56,0.78,0.33,0.22,2.67,1.11,6.33,Good
Scott Eatherton,C,2.06,29,EXT,BAXI Manresa,11.0,6.22,11.22,25.0,56.5,62.5,5.56,1.22,0.67,1.56,0.33,1.11,3.56,3.22,10.78,Good
Dani Pérez,PG,1.84,30,JFL,BAXI Manresa,5.67,2.78,7.0,32.0,37.0,63.6,2.0,7.56,1.44,2.67,0.0,0.11,3.0,2.33,9.0,Good
Yankuba Sima,C,2.11,24,JFL,BAXI Manresa,3.12,1.75,3.38,0.0,57.9,37.5,2.5,0.5,0.25,0.75,0.12,0.38,1.62,0.75,2.88,Poor
